open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2024-01-16 12:30:00,2537.82,2544.2,2537.61,2541.7,1748.0683,4442057.593506,5861,1082.1417,2749792.979533
2024-01-16 12:35:00,2541.71,2544.3,2541.32,2542.97,956.9591,2433629.212093,3587,438.7053,1115610.996644
2024-01-16 12:40:00,2542.98,2543.53,2539.93,2542.65,1501.6706,3817265.176155,3311,824.7068,2096221.859119
2024-01-16 12:45:00,2542.64,2543.42,2541.6,2542.82,584.3677,1485811.619378,2891,312.6591,794945.223043
2024-01-16 12:50:00,2542.81,2542.98,2541.87,2542.7,454.1037,1154511.646138,2203,228.2738,580352.028167
2024-01-16 12:55:00,2542.7,2547.95,2542.7,2547.01,1246.683,3174001.086724,4188,828.2455,2108723.102501
2024-01-16 13:00:00,2547.0,2547.8,2543.95,2547.15,947.4697,2412460.635127,4118,463.0701,1179024.998088
2024-01-16 13:05:00,2547.15,2547.8,2542.16,2546.43,759.2558,1932448.223957,3763,358.6545,912846.172346
2024-01-16 13:10:00,2546.44,2546.44,2542.83,2544.99,758.5482,1930056.380767,3441,295.5265,751923.275023
2024-01-16 13:15:00,2545.0,2546.0,2541.89,2543.69,834.4224,2122295.126122,3727,417.4525,1061627.258892
2024-01-16 13:20:00,2543.69,2545.2,2538.06,2540.61,937.1765,2381526.632566,4063,466.9335,1186660.948074
2024-01-16 13:25:00,2540.6,2540.61,2537.22,2539.72,848.903,2155268.901799,4606,367.9667,934228.694792
2024-01-16 13:30:00,2539.72,2540.6,2537.0,2539.35,1146.4234,2909726.229818,4572,548.176,1391416.775458
2024-01-16 13:35:00,2539.35,2540.48,2537.0,2538.51,1444.8119,3666822.570018,3997,653.6308,1658916.614061
2024-01-16 13:40:00,2538.51,2538.98,2537.11,2537.26,457.7514,1161703.886703,2623,232.7147,590586.541188
2024-01-16 13:45:00,2537.26,2537.32,2534.0,2535.03,1709.4699,4334922.142558,4175,466.4233,1182500.12306
2024-01-16 13:50:00,2535.03,2535.4,2525.11,2525.51,2345.5401,5934289.606681,6048,1095.3986,2771549.964029
2024-01-16 13:55:00,2525.5,2528.6,2524.1,2525.81,1708.8604,4316425.737905,5325,752.9021,1901751.411813
2024-01-16 14:00:00,2525.8,2531.37,2522.0,2530.41,1495.707,3779405.420846,5630,841.7566,2127051.083599
2024-01-16 14:05:00,2530.4,2533.01,2528.34,2532.68,1270.6409,3215456.554026,3697,832.3855,2106244.587412
2024-01-16 14:10:00,2532.68,2533.95,2529.49,2531.66,1050.4571,2659828.266391,3697,606.8922,1536631.864595
2024-01-16 14:15:00,2531.65,2531.66,2526.22,2526.22,446.5113,1129286.071497,2872,178.0812,450407.220058
2024-01-16 14:20:00,2526.22,2529.83,2526.05,2527.76,742.4724,1876696.57789,3129,421.1131,1064316.222203
2024-01-16 14:25:00,2527.76,2531.59,2527.75,2529.2,1033.5526,2614461.376714,3093,526.9165,1332892.688319
2024-01-16 14:30:00,2529.2,2536.75,2523.81,2524.82,2243.799,5677106.348526,7154,1248.3593,3159271.170294
2024-01-16 14:35:00,2524.82,2524.83,2506.17,2510.8,7233.7287,18178705.329547,18618,3076.5037,7729383.491874
2024-01-16 14:40:00,2510.8,2510.94,2500.05,2501.4,8630.9485,21611783.968743,14640,4386.4345,10982466.155905
2024-01-16 14:45:00,2501.4,2511.4,2500.6,2510.65,4005.2979,10043553.002426,9865,2112.3622,5296491.533911
2024-01-16 14:50:00,2510.64,2538.32,2510.64,2533.67,9919.8269,25074873.527432,21282,5444.6958,13762240.381377
2024-01-16 14:55:00,2533.66,2536.06,2528.67,2534.31,4861.8859,12312577.511068,9216,2519.4694,6381376.302695
2024-01-16 15:00:00,2534.31,2541.0,2526.98,2527.7,3827.1723,9701951.53453,9237,2244.9183,5692424.014409
2024-01-16 15:05:00,2527.69,2531.58,2524.99,2530.58,2178.3003,5507310.015503,7281,1261.8678,3190296.804446
2024-01-16 15:10:00,2530.58,2533.6,2527.0,2529.36,1800.5046,4554216.295096,6462,886.7568,2242921.929395
2024-01-16 15:15:00,2529.37,2547.6,2528.17,2545.6,3032.3484,7701703.40747,9888,1773.5451,4504263.160984
2024-01-16 15:20:00,2545.6,2553.74,2544.34,2551.32,6548.9224,16701346.497763,12087,3483.461,8882350.596255
2024-01-16 15:25:00,2551.32,2564.99,2549.16,2563.45,6999.315,17921048.386601,16260,3987.2468,10207324.366214
2024-01-16 15:30:00,2563.44,2570.79,2559.41,2564.29,5414.5397,13890316.88132,13186,2902.9643,7447429.982479
2024-01-16 15:35:00,2564.29,2568.0,2560.75,2566.09,3028.7433,7765466.045055,8920,1824.685,4678317.989177
2024-01-16 15:40:00,2566.1,2568.78,2559.73,2561.58,2257.2875,5786050.649228,8279,1001.8419,2568114.384474
2024-01-16 15:45:00,2561.59,2562.2,2551.85,2558.87,4295.2925,10977565.507131,9932,2376.4224,6072053.400716
2024-01-16 15:50:00,2558.87,2558.88,2551.98,2556.31,1825.0181,4665011.95585,6897,963.3983,2462471.631956
2024-01-16 15:55:00,2556.3,2560.0,2555.2,2559.44,1638.3037,4190765.422373,5934,888.5802,2272966.290688
2024-01-16 16:00:00,2559.44,2566.55,2556.43,2561.0,3345.3475,8570800.388613,8618,2309.362,5915843.437195
2024-01-16 16:05:00,2561.0,2563.27,2552.82,2553.65,2115.5026,5410549.746385,7460,932.1241,2384058.551106
2024-01-16 16:10:00,2553.65,2557.0,2551.55,2555.61,1757.5529,4489143.818448,7156,1049.0669,2679612.02518
2024-01-16 16:15:00,2555.61,2557.8,2548.63,2549.35,1865.4888,4762310.208274,6338,796.8809,2034717.087926
2024-01-16 16:20:00,2549.36,2558.21,2549.35,2556.24,1630.0929,4164916.088384,5521,879.585,2247177.194253
2024-01-16 16:25:00,2556.24,2557.37,2552.8,2552.83,975.3895,2491910.141515,4242,562.6942,1437561.725455
2024-01-16 16:30:00,2552.84,2560.23,2552.4,2560.04,2754.3138,7042393.768705,5055,1890.3622,4833277.585849
2024-01-16 16:35:00,2560.04,2560.1,2553.4,2558.48,3343.8384,8547979.237477,5643,1894.8842,4843761.021915
2024-01-16 16:40:00,2558.48,2567.91,2558.29,2566.84,3629.9543,9304295.45182,8216,2111.6078,5412369.608579
2024-01-16 16:45:00,2566.85,2577.46,2566.84,2577.46,8754.47,22527343.291583,13905,4377.4357,11263036.045387
2024-01-16 16:50:00,2577.45,2579.62,2572.0,2576.56,3829.9838,9865759.404433,8613,2178.3911,5610876.114395
2024-01-16 16:55:00,2576.55,2576.6,2572.48,2575.92,2308.9817,5944810.991974,5630,1391.3279,3581876.971109
2024-01-16 17:00:00,2575.93,2578.93,2570.4,2572.83,2255.8417,5807398.323739,6669,1369.3515,3525251.606397
2024-01-16 17:05:00,2572.84,2575.3,2570.21,2570.52,1587.4863,4083426.648292,4787,886.4358,2280173.553391
2024-01-16 17:10:00,2570.52,2573.52,2568.26,2570.81,1226.5898,3153083.924825,3886,620.6938,1595487.501021
2024-01-16 17:15:00,2570.81,2576.54,2569.8,2569.81,1159.9471,2985479.200096,4441,512.2588,1318587.968349
2024-01-16 17:20:00,2569.81,2573.22,2566.65,2571.07,1854.471,4766383.567244,5851,1030.8695,2649565.303818
2024-01-16 17:25:00,2571.07,2571.08,2567.36,2570.13,817.4397,2100577.643302,3933,378.0625,971499.689114
2024-01-16 17:30:00,2570.12,2570.33,2562.09,2564.28,1420.8505,3645952.607993,4640,462.6277,1186896.273133
2024-01-16 17:35:00,2564.28,2568.41,2563.78,2566.23,821.1256,2107140.821393,3637,434.0256,1113762.923701
2024-01-16 17:40:00,2566.24,2566.52,2563.43,2565.62,678.8461,1741012.74802,3469,323.8054,830403.283704
2024-01-16 17:45:00,2565.62,2570.48,2564.53,2564.54,743.6574,1908886.350095,3169,406.5676,1043681.196084
2024-01-16 17:50:00,2564.54,2567.85,2564.16,2566.05,707.4022,1815523.726193,3364,395.8245,1015805.766437
2024-01-16 17:55:00,2566.05,2568.45,2564.04,2564.05,833.9493,2140314.111556,3380,339.7226,871863.85613
2024-01-16 18:00:00,2564.05,2567.07,2562.61,2564.82,673.5847,1727768.382915,3967,407.5919,1045494.958513
2024-01-16 18:05:00,2564.82,2567.55,2563.45,2564.4,1115.0435,2860966.975298,2763,362.1046,929037.16083
2024-01-16 18:10:00,2564.4,2569.44,2564.39,2568.69,589.2266,1512862.436061,2263,413.3672,1061263.420899
2024-01-16 18:15:00,2568.7,2568.7,2563.12,2563.41,867.642,2225864.912412,3376,495.4106,1270933.131918
2024-01-16 18:20:00,2563.4,2566.73,2562.32,2562.33,862.3378,2211299.879171,3556,379.7923,973842.074794
2024-01-16 18:25:00,2562.33,2565.58,2559.46,2561.66,1419.5795,3636958.954641,4979,724.9117,1857387.096883
2024-01-16 18:30:00,2561.66,2562.91,2559.01,2559.02,663.6725,1699671.60751,3544,350.4235,897451.356028
2024-01-16 18:35:00,2559.01,2560.76,2555.67,2556.72,1584.6248,4053714.195645,4928,1011.3866,2587383.173793
2024-01-16 18:40:00,2556.72,2558.4,2554.8,2556.44,706.1062,1805279.982808,3334,324.795,830471.245058
2024-01-16 18:45:00,2556.44,2565.84,2555.45,2563.73,1120.6482,2870416.402979,4386,729.598,1868602.693072
2024-01-16 18:50:00,2563.73,2564.92,2560.8,2561.09,769.9419,1973520.859629,4204,393.2738,1008020.129886
2024-01-16 18:55:00,2561.09,2561.11,2558.85,2559.2,865.3125,2215255.263886,2787,393.2679,1006730.848219
2024-01-16 19:00:00,2559.2,2561.8,2555.4,2558.82,844.6416,2161058.258203,4152,346.7982,887209.124583
2024-01-16 19:05:00,2558.83,2563.6,2558.01,2561.35,672.073,1721585.510058,3128,354.7882,908754.879118
2024-01-16 19:10:00,2561.34,2562.6,2559.3,2560.97,469.2731,1201864.688385,2780,229.2276,587068.204492
2024-01-16 19:15:00,2560.97,2561.8,2558.26,2559.16,510.1357,1305824.323356,2576,251.6391,644027.372443
2024-01-16 19:20:00,2559.16,2566.64,2559.16,2565.27,791.2762,2028547.611587,3279,510.5112,1308706.729528
2024-01-16 19:25:00,2565.28,2567.0,2562.24,2562.24,595.9689,1528731.090657,2981,284.4975,729842.476018
2024-01-16 19:30:00,2562.24,2565.6,2561.48,2564.71,513.7162,1316940.563897,2530,323.7111,829814.020605
2024-01-16 19:35:00,2564.71,2566.0,2561.86,2564.13,391.7901,1004470.712744,2514,220.0469,564106.802177
2024-01-16 19:40:00,2564.13,2567.0,2564.12,2566.22,966.7655,2480463.273992,2678,547.1195,1403594.109607
2024-01-16 19:45:00,2566.21,2572.0,2565.4,2569.24,1608.4868,4131592.925993,5022,980.3355,2517928.890787
2024-01-16 19:50:00,2569.24,2572.7,2567.74,2570.41,622.6038,1600306.133539,3688,348.5976,895945.758076
2024-01-16 19:55:00,2570.4,2576.09,2570.4,2574.06,1034.2556,2662421.122944,5006,631.1139,1624464.6035
2024-01-16 20:00:00,2574.06,2577.36,2571.79,2575.65,1268.1622,3265709.304059,5498,762.4794,1963419.451371
2024-01-16 20:05:00,2575.65,2579.26,2574.4,2578.6,1461.6466,3767507.831189,4796,1022.776,2636258.552938
2024-01-16 20:10:00,2578.61,2583.63,2578.56,2578.56,2309.8458,5962033.111395,8163,1390.1665,3588022.38139
2024-01-16 20:15:00,2578.57,2586.0,2578.56,2585.6,1160.6096,2998190.024167,4808,787.2463,2033647.592338
2024-01-16 20:20:00,2585.61,2586.79,2579.67,2582.15,1244.8031,3215163.261651,5026,725.8059,1874952.568433
2024-01-16 20:25:00,2582.15,2585.01,2580.38,2583.81,1261.1786,3258419.132384,4734,740.6116,1913371.728936
2024-01-16 20:30:00,2583.82,2586.0,2580.87,2582.01,1255.4647,3244081.384926,4525,731.004,1888771.18114
2024-01-16 20:35:00,2582.0,2588.22,2582.0,2587.6,2523.5997,6526447.040942,4722,1654.9857,4280096.999097
2024-01-16 20:40:00,2587.6,2588.97,2582.2,2582.76,1141.7511,2952360.425185,5192,548.0573,1417244.0677
2024-01-16 20:45:00,2582.75,2584.8,2579.01,2584.6,1571.0075,4056520.38756,6152,897.0822,2316559.378538
2024-01-16 20:50:00,2584.59,2587.2,2583.2,2585.3,1663.7236,4301391.6441,4241,919.2256,2376563.759005
2024-01-16 20:55:00,2585.29,2587.3,2582.19,2586.87,1558.7059,4028816.248903,5110,881.8517,2279456.514039
2024-01-16 21:00:00,2586.87,2589.59,2584.89,2588.99,1386.2592,3586828.377669,4752,760.8135,1968417.548452
2024-01-16 21:05:00,2589.0,2589.39,2586.42,2586.96,634.4639,1641972.394138,3110,261.8804,677684.449346
2024-01-16 21:10:00,2586.95,2589.49,2586.41,2587.86,1013.3843,2622737.555139,3645,674.9747,1746887.721478
2024-01-16 21:15:00,2587.87,2590.0,2587.06,2589.49,1510.3715,3909543.379842,4189,970.9974,2513350.078821
2024-01-16 21:20:00,2589.49,2594.99,2589.48,2592.07,3173.7245,8226328.60985,7123,2002.9064,5191183.034194
2024-01-16 21:25:00,2592.06,2599.5,2591.64,2598.15,2131.6907,5533269.437263,5764,1392.0795,3613041.161522
2024-01-16 21:30:00,2598.14,2609.19,2597.88,2605.72,3990.7062,10388830.128636,10053,2576.9638,6707123.643198
